employee_id,months_in_company,workload_quota,salary_ratio,stayed,termination_reason
high.performer1@company.com,22,1.25,0.85,0,2
high.performer2@company.com,26,1.30,0.80,0,2
high.performer3@company.com,23,1.20,0.75,0,2
high.performer4@company.com,25,1.35,0.82,0,2
high.performer5@company.com,20,1.28,0.78,0,2
high.performer6@company.com,28,1.22,0.83,1,0
high.performer7@company.com,19,1.32,0.77,0,2
low.performer1@company.com,48,0.65,1.25,0,1
low.performer2@company.com,45,0.60,1.30,0,1
low.performer3@company.com,52,0.55,1.28,0,1
low.performer4@company.com,41,0.70,1.22,0,1
low.performer5@company.com,47,0.62,1.35,1,0
low.performer6@company.com,44,0.58,1.27,0,1
normal.emp1@company.com,35,0.95,1.02,1,0
normal.emp2@company.com,38,1.05,0.98,1,0
normal.emp3@company.com,34,0.92,1.05,1,0
normal.emp4@company.com,37,1.08,0.97,1,0
normal.emp5@company.com,33,0.98,1.03,0,2
normal.emp6@company.com,36,1.03,1.01,1,0
normal.emp7@company.com,39,0.97,0.99,1,0
normal.emp8@company.com,35,1.02,1.04,1,0
normal.emp9@company.com,37,0.94,1.02,1,0
normal.emp10@company.com,34,1.06,0.96,1,0
struggle.emp1@company.com,12,0.72,0.85,0,1
struggle.emp2@company.com,28,0.68,0.82,0,1
struggle.emp3@company.com,8,0.65,0.78,0,1
struggle.emp4@company.com,19,0.70,0.83,0,1
struggle.emp5@company.com,35,0.71,0.80,1,0
struggle.emp6@company.com,15,0.69,0.81,0,1
new.hire1@company.com,8,1.10,1.05,1,0
new.hire2@company.com,6,0.95,1.00,1,0
new.hire3@company.com,9,1.05,0.95,1,0
new.hire4@company.com,7,1.02,1.02,1,0
new.struggle1@company.com,5,0.75,1.10,1,0
new.struggle2@company.com,4,0.70,1.05,1,0
veteran1@company.com,58,1.15,1.15,1,0
veteran2@company.com,62,1.10,1.20,1,0
veteran3@company.com,55,1.12,1.18,1,0
mixed.case1@company.com,31,0.88,1.08,0,2
mixed.case2@company.com,27,1.12,0.92,0,2
mixed.case3@company.com,42,0.82,1.15,0,1
mixed.case4@company.com,29,1.08,0.88,1,0
mixed.case5@company.com,33,0.85,1.12,1,0
early.leave1@company.com,3,0.60,0.95,0,1
early.leave2@company.com,4,1.15,0.80,0,2
early.leave3@company.com,2,0.55,1.10,0,1
at.risk1@company.com,18,0.75,1.20,1,0
at.risk2@company.com,15,1.22,0.82,1,0
at.risk3@company.com,20,0.68,1.25,1,0 
